State,Score
PR,396.8
MD,339.775
DC,333.4166666666667
MA,317.94174757281553
DE,314.4166666666667
RI,292.8421052631579
NC,292.06145251396646
VT,287.73333333333335
NY,261.9727626459144
TN,252.35625
NH,251.97826086956522
ME,251.20338983050848
IL,249.47517730496455
NJ,248.0
GA,245.08450704225353
PA,244.81632653061226
CT,243.2156862745098
CA,243.0287474332649
VA,238.43971631205673
WA,235.0791366906475
AZ,234.17757009345794
MI,228.6727272727273
NM,222.2
MO,218.03351955307264
OH,216.55416666666667
NV,213.94827586206895
SC,212.90425531914894
OR,204.5612244897959
TX,198.0215264187867
WV,195.04166666666666
FL,188.76678445229683
CO,187.4962962962963
LA,186.03870967741935
IN,184.07692307692307
AK,182.31034482758622
MN,179.8318181818182
IA,179.1021505376344
KY,178.72857142857143
AL,177.8359375
UT,175.2469135802469
WY,169.45
ID,168.38805970149255
MS,167.57142857142858
WI,167.3256880733945
AR,165.34615384615384
GU,158.0
KS,156.81767955801104
OK,147.94776119402985
MT,145.19753086419752
HI,142.93548387096774
NE,136.52307692307693
ND,131.96923076923076
SD,129.0
